n;case number;time
1000;1;1
1000;2;0
1000;3;1
1000;4;2
1000;5;0
5000;1;1
5000;2;2
5000;3;2
5000;4;23
5000;5;2
10000;1;2
10000;2;5
10000;3;8
10000;4;4
10000;5;10
50000;1;30
50000;2;26
50000;3;14
50000;4;17
50000;5;13
100000;1;23
100000;2;23
100000;3;27
100000;4;21
100000;5;25
500000;1;115
500000;2;128
500000;3;112
500000;4;115
500000;5;129
1000000;1;252
1000000;2;247
1000000;3;286
1000000;4;180
1000000;5;192
