n;case number;time
1000;1;7
1000;2;0
1000;3;1
1000;4;0
1000;5;1
5000;1;1
5000;2;1
5000;3;1
5000;4;1
5000;5;1
10000;1;2
10000;2;2
10000;3;3
10000;4;2
10000;5;2
50000;1;8
50000;2;10
50000;3;9
50000;4;9
50000;5;8
100000;1;18
100000;2;18
100000;3;18
100000;4;16
100000;5;16
500000;1;100
500000;2;95
500000;3;100
500000;4;99
500000;5;102
1000000;1;230
1000000;2;189
1000000;3;184
1000000;4;190
1000000;5;188
