n;case number;time
1000;1;1
1000;2;1
1000;3;0
1000;4;0
1000;5;0
5000;1;0
5000;2;1
5000;3;1
5000;4;1
5000;5;0
10000;1;1
10000;2;1
10000;3;1
10000;4;0
10000;5;0
50000;1;4
50000;2;4
50000;3;5
50000;4;6
50000;5;5
100000;1;12
100000;2;12
100000;3;12
100000;4;12
100000;5;12
500000;1;71
500000;2;56
500000;3;64
500000;4;66
500000;5;64
1000000;1;147
1000000;2;141
1000000;3;113
1000000;4;109
1000000;5;113
